"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher","avgt",1,5,"43,355078","42,206305","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.alloc.rate","avgt",1,5,"3798,639368","3337,993588","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.alloc.rate.norm","avgt",1,5,"164859420,200474","779,516855","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.count","avgt",1,5,"24,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.time","avgt",1,5,"247,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher","avgt",1,5,"1,076748","0,544189","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.alloc.rate","avgt",1,5,"279,371126","76,521838","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"313458,566086","99132,988500","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.count","avgt",1,5,"4,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.time","avgt",1,5,"89,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher","avgt",1,5,"279,251784","177,533621","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.alloc.rate","avgt",1,5,"577,486990","429,894860","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.alloc.rate.norm","avgt",1,5,"164853103,600000","1523,847272","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.count","avgt",1,5,"6,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.time","avgt",1,5,"69,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher","avgt",1,5,"416,557912","1372,180346","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.alloc.rate","avgt",1,5,"2071,159347","5313,026139","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"496949543,619048","2794623,212067","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.count","avgt",1,5,"16,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.time","avgt",1,5,"202,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher","avgt",1,5,"447,764462","1380,409972","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.alloc.rate","avgt",1,5,"1837,425418","4917,890588","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.alloc.rate.norm","avgt",1,5,"496594794,857143","1545210,851909","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.count","avgt",1,5,"16,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.time","avgt",1,5,"195,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher","avgt",1,5,"475,291030","1284,793312","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.alloc.rate","avgt",1,5,"1568,172795","4075,526250","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.alloc.rate.norm","avgt",1,5,"500868131,809524","626853,130625","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.count","avgt",1,5,"12,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.time","avgt",1,5,"129,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher","avgt",1,5,"453,406929","1420,993050","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.alloc.rate","avgt",1,5,"1799,250977","4461,387324","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.alloc.rate.norm","avgt",1,5,"501377702,019048","3197815,516644","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.count","avgt",1,5,"12,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.time","avgt",1,5,"157,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher","avgt",1,5,"428,885492","1280,418724","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.alloc.rate","avgt",1,5,"1872,366689","4982,360365","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.alloc.rate.norm","avgt",1,5,"500797958,228572","918121,843220","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.count","avgt",1,5,"16,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.time","avgt",1,5,"111,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher","avgt",1,5,"448,058323","1417,374835","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.alloc.rate","avgt",1,5,"1853,366147","4709,120585","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.alloc.rate.norm","avgt",1,5,"501050747,817143","1711011,538755","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.count","avgt",1,5,"16,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.time","avgt",1,5,"296,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher","avgt",1,5,"0,581721","0,626374","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.alloc.rate","avgt",1,5,"668,282678","1220,914323","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"364564,754643","31878,725930","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.count","avgt",1,5,"6,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.time","avgt",1,5,"103,000000",NaN,"ms"
