"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.count","avgt",1,5,"6,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.time","avgt",1,5,"11,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher","avgt",1,5,"255,699008","208,349949","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.alloc.rate","avgt",1,5,"1487,575583","955,745428","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.alloc.rate.norm","avgt",1,5,"387725788,800000","1035282,605757","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.count","avgt",1,5,"6,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.time","avgt",1,5,"10,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher","avgt",1,5,"304,740718","233,259822","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.alloc.rate","avgt",1,5,"1251,265259","963,859524","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.alloc.rate.norm","avgt",1,5,"387369698,400000","349880,909825","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.count","avgt",1,5,"4,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.time","avgt",1,5,"4,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher","avgt",1,5,"297,369394","198,671411","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.alloc.rate","avgt",1,5,"1274,709207","912,339355","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.alloc.rate.norm","avgt",1,5,"387445592,746667","745472,318734","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.count","avgt",1,5,"5,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.time","avgt",1,5,"8,000000",NaN,"ms"
